"","movie","director","spectator","point","genre","release","limit"
"593","대장 김창수","이원태","381483",8.45,"드라마",2017-10-19,"12세 관람가"
"594","눈의 여왕3: 눈과 불의 마법대결","알렉세이 트시칠린","368195",8.34,"애니메이션, 모험",2017-01-04,"전체 관람가"
"595","어쌔신 크리드","저스틴 커젤","355813",7.29,"액션, 모험, 판타지",2017-01-11,"15세 관람가"
"596","플립","로브 라이너","355781",9.12,"멜로/로맨스, 드라마",2017-07-12,"12세 관람가"
"597","석조저택 살인사건","정식","353517",8.22,"스릴러, 서스펜스",2017-05-09,"15세 관람가"
"598","싱글라이더","이주영","351276",8.01,"드라마",2017-02-22,"15세 관람가"
"599","7호실","이용승","347823",7.12,"블랙코미디",2017-11-15,"15세 관람가"
"600","사랑하기 때문에","주지홍","340936",8.38,"코미디, 멜로/로맨스",2017-01-04,"12세 관람가"
"601","신과함께-인과 연","김용화","12276115",8.63,"판타지, 드라마",2018-08-01,"12세 관람가"
"602","어벤져스: 인피니티 워","안소니 루소","11212710",9.08,"액션, 모험, 판타지",2018-04-25,"12세 관람가"
"603","보헤미안 랩소디","브라이언 싱어","9948386",9.45,"드라마",2018-10-31,"12세 관람가"
"604","미션 임파서블: 폴아웃","크리스토퍼 맥쿼리","6584919",9.15,"액션, 모험, 스릴러",2018-07-25,"15세 관람가"
"605","쥬라기 월드: 폴른 킹덤","후안 안토니오 바요나","5661231",8.54,"액션, 모험, SF",2018-06-06,"12세 관람가"
"606","앤트맨과 와스프","페이튼 리드","5448134",8.85,"액션, 모험, SF",2018-07-04,"12세 관람가"
"607","안시성","김광식","5441020",8.63,"액션",2018-09-19,"12세 관람가"
"608","블랙 팬서","라이언 쿠글러","5399327",8.33,"액션, 드라마, SF",2018-02-14,"12세 관람가"
"609","완벽한 타인","이재규","5294154",9.08,"드라마, 코미디",2018-10-31,"15세 관람가"
"610","독전","이해영","5201715",8.41,"범죄, 액션",2018-05-22,"15세 관람가"
"611","아쿠아맨","제임스 완","5038143",8.77,"액션, 모험, SF",2018-12-19,"12세 관람가"
"612","공작","윤종빈","4975362",7.86,"드라마",2018-08-08,"12세 관람가"
"613","베놈","루벤 플레셔","3887975",8.24,"액션, SF, 스릴러",2018-10-03,"15세 관람가"
"614","암수살인","김태균","3789222",8.58,"범죄, 드라마",2018-10-03,"15세 관람가"
"615","데드풀 2","데이빗 레이치","3784630",9.09,"액션, 모험, 코미디",2018-05-16,"청소년 관람불가"
"616","국가부도의 날","최국희","3755133",8.7,"드라마",2018-11-28,"12세 관람가"
"617","코코","리 언크리치","3513114",9.2,"애니메이션, 모험",2018-01-11,"전체 관람가"
"618","그것만이 내 세상","최성현","3419753",9.17,"코미디, 드라마",2018-01-17,"12세 관람가"
"619","마녀","박훈정","3189091",8.57,"미스터리, 액션",2018-06-27,"15세 관람가"
"620","탐정: 리턴즈","이언희","3152895",8.99,"코미디, 범죄",2018-06-13,"15세 관람가"
"621","인크레더블 2","브래드 버드","3033105",9.32,"애니메이션, 액션",2018-07-18,"전체 관람가"
"622","서치","아니쉬 차간티","2950097",8.97,"드라마",2018-08-29,"12세 관람가"
"623","너의 결혼식","이석근","2820685",9,"멜로/로맨스",2018-08-22,"12세 관람가"
"624","곤지암","정범식","2675883",7.51,"공포, 미스터리",2018-03-28,"15세 관람가"
"625","지금 만나러 갑니다","이장훈","2602273",8.97,"멜로/로맨스",2018-03-14,"12세 관람가"
"626","목격자","조규장","2524634",7.56,"스릴러",2018-08-15,"15세 관람가"
"627","조선명탐정: 흡혈괴마의 비밀","김석윤","2444145",7.52,"모험, 코미디",2018-02-08,"12세 관람가"
"628","신비한 동물들과 그린델왈드의 범죄","데이빗 예이츠","2414195",7.46,"모험, 가족, 판타지",2018-11-14,"12세 관람가"
"629","메이즈 러너: 데스 큐어","웨스 볼","2299751",8.16,"액션, SF, 스릴러",2018-01-17,"12세 관람가"
