"","movie","director","spectator","point","genre","release","limit"
"791","구스 베이비","크리스토퍼 젠킨스","91490",9.06,"애니메이션, 코미디",2019-01-16,"전체 관람가"
"792","더 보이","데이비드 야로베스키","89432",6.48,"공포, SF",2019-05-23,"15세 관람가"
"793","그대 이름은 장미","조석현","89238",7.62,"코미디",2019-01-16,"12세 관람가"
"794","레고 무비2","마이크 미첼","88392",8.85,"애니메이션, 액션",2019-02-06,"전체 관람가"
"795","미드소마","아리 에스터","84754",7.56,"공포, 드라마",2019-07-11,"청소년 관람불가"
"796","로망","이창근","79133",8.98,"멜로/로맨스",2019-04-03,"전체 관람가"
"797","어쩌다, 결혼","박호찬","76846",7.28,"멜로/로맨스, 코미디",2019-02-27,"12세 관람가"
"798","호텔 뭄바이","안소니 마라스","74034",9.11,"범죄, 드라마, 스릴러",2019-05-08,"15세 관람가"
"799","김복동","송원근","69991",9.84,"다큐멘터리",2019-08-08,"12세 관람가"
"800","1919 유관순","신상민","61578",8.28,"다큐멘터리",2019-03-14,"12세 관람가"
